n_CD27+,n_CD27-
879.408,696.592
1314.54,5225.46
2076.62,2170.046667
1273.543333,52919.79
1352.4,96647.6
529.2533333,957.4133333
538.2373333,4023.096
33.33333333,0
1226.24,8353.76
144.4946667,264.8386667
62.97466667,34.35866667
3796.593333,14196.74
705.3333333,0
132.16,427.84
253.4426667,15.89066667
102.8986667,22.43466667
519.456,3603.210667
452.9168,5651.0832
30.636,61.364
810.05,3954.95
74.375,10.625
155,0
253.8,1156.2
626.93,83.07
90.875,34.125
101.05,113.95
216.45,6998.55
91.2,68.8
25,0
117.45,287.55
10,0
20,0
25,0
98,42
257.42,797.58
244.59,65.41
185.625,39.375
67.025,107.975
912.34,1507.66
11,99
3378.55,51.45
135.2,264.8
280.5,219.5
4.998,55.002
28686.51,9158.49
443.98,2366.02
10.005,104.995
291.575,253.425
137.6,722.4
946.4,4968.6
213.06,121.94
1020.54,439.46
2892.21,317.79
525.525,189.475
35,0
2284.595,3680.405
